Results of Simulation 1

Time	Q_central	Q_periph	Q_met
174	2194.32	3673.21	2131.6
175	2140.47	3705.39	2153.27
176	2093.6	3731.1	2174.43
177	2052.68	3751.29	2195.16
178	2016.87	3766.76	2215.5
179	1985.42	3778.2	2235.51
180	1957.7	3786.2	2255.22
181	1933.18	3791.28	2274.67
182	1911.39	3793.85	2293.89
183	1891.94	3794.28	2312.91
184	1874.49	3792.9	2331.74
185	1858.75	3789.97	2350.41
186	1844.48	3785.73	2368.92
187	1831.47	3780.36	2387.3
188	1819.54	3774.04	2405.55
189	1808.53	3766.91	2423.69
190	1798.31	3759.09	2441.73
191	1788.78	3750.69	2459.66
192	1779.82	3741.8	2477.5
193	1771.4	3732.47	2495.25
194	2670.88	3806.56	2521.5
195	2574.63	3876.59	2547.71
196	2491.37	3934.47	2573.03
197	2419.33	3981.97	2597.58
198	2356.86	4020.57	2621.45
199	2302.51	4051.63	2644.74
200	2255.12	4076.24	2667.52
201	2213.7	4095.32	2689.86
202	2177.38	4109.69	2711.81
203	2145.42	4120.03	2733.42
204	2117.2	4126.95	2754.73
205	2092.17	4130.93	2775.78
206	2069.87	4132.42	2796.58
207	2049.92	4131.78	2817.18
208	2031.97	4129.32	2837.59
209	2015.73	4125.32	2857.83
210	2000.96	4120	2877.91
211	1987.45	4113.57	2897.85
212	1975.03	4106.19	2917.66
213	1963.52	4098	2937.35
214	1952.81	4089.13	2956.93
215	1942.78	4079.68	2976.41
216	1933.34	4069.75	2995.79
217	1924.44	4059.37	3015.07
218	2823.42	4132.42	3042.84
219	2726.7	4201.41	3070.58
220	2643.01	4258.26	3097.42
221	2570.48	4304.73	3123.48
222	2507.52	4342.31	3148.86
223	2452.68	4372.35	3173.65
224	2404.81	4395.94	3197.93
225	2362.91	4414.01	3221.77
226	2326.11	4427.37	3245.21
227	2293.67	4436.71	3268.31
228	2264.98	4442.61	3291.1
229	2239.48	4445.6	3313.62
230	2216.71	4446.08	3335.89
231	2196.29	4444.44	3357.96
232	2177.87	4440.99	3379.83
233	2161.17	4436	3401.52
234	2145.94	4429.7	3423.05
235	2131.97	4422.28	3444.44
236	2119.08	4413.91	3465.7
237	2107.11	4404.74	3486.83
238	2095.94	4394.9	3507.84
239	2085.46	4384.48	3528.75
240	2075.56	4373.57	3549.55
241	2066.21	4362.22	3570.25
242	2964.74	4434.31	3599.44
243	2867.6	4502.34	3628.59
244	2783.46	4558.23	3656.83
245	2710.49	4603.74	3684.3
246	2647.08	4640.37	3711.07
247	2591.8	4669.47	3737.26
248	2543.48	4692.11	3762.93
249	2501.13	4709.24	3788.15
250	2463.89	4721.67	3812.97
251	2431.01	4730.07	3837.44
252	2401.88	4735.04	3861.6
253	2375.94	4737.09	3885.49
254	2352.74	4736.65	3909.13
255	2331.88	4734.09	3932.55
256	2313.03	4729.72	3955.78
257	2295.9	4723.81	3978.82
258	2280.24	4716.59	4001.7
259	2265.84	4708.26	4024.43
260	2252.52	4698.98	4047.02
261	2240.14	4688.91	4069.48
262	2228.54	4678.16	4091.82
263	2217.64	4666.83	4114.05
264	2207.32	4655.03	4136.18
265	2197.55	4642.78	4158.19
266	3095.66	4713.98	4188.69
267	2998.11	4781.12	4219.15
268	2913.56	4836.12	4248.7
269	2840.16	4880.76	4277.46
270	2776.35	4916.5	4305.53
271	2720.65	4944.72	4333.01
272	2671.92	4966.49	4359.96
273	2629.17	4982.75	4386.46
274	2591.52	4994.29	4412.56
275	2558.23	5001.83	4438.31
276	2528.7	5005.94	4463.74
277	2502.36	5007.13	4488.89
278	2478.74	5005.84	4513.8
279	2457.48	5002.42	4538.48
280	2438.23	4997.19	4562.95
281	2420.7	4990.43	4587.25
282	2404.65	4982.36	4611.37
283	2389.85	4973.18	4635.34
284	2376.14	4963.06	4659.17
285	2363.36	4952.14	4682.87
286	2351.38	4940.56	4706.44
287	2340.08	4928.4	4729.9
288	2329.37	4915.76	4753.25
289	2319.22	4902.68	4776.48
290	3216.93	4973.05	4808.19
291	3118.97	5039.37	4839.86
292	3034.03	5093.55	4870.61
293	2960.26	5137.36	4900.58
294	2896.07	5172.28	4929.85
295	2839.99	5199.69	4958.52
296	2790.88	5220.64	4986.67
297	2747.75	5236.09	5014.36
298	2709.72	5246.83	5041.64
299	2676.07	5253.55	5068.56
300	2646.16	5256.86	5095.17
301	2619.44	5257.25	5121.5
302	2595.46	5255.16	5147.57
303	2573.83	5250.94	5173.42
304	2554.21	5244.92	5199.05
305	2536.31	5237.37	5224.51
306	2519.89	5228.52	5249.79
307	2504.73	5218.56	5274.91
308	2490.65	5207.66	5299.88
309	2477.5	5195.97	5324.72
310	2465.15	5183.6	5349.44
311	2453.49	5170.67	5374.03
312	2442.42	5157.26	5398.51
313	2431.91	5143.41	5422.87
314	3329.26	5213.01	5455.7
315	3230.96	5278.56	5488.49
316	3145.67	5331.98	5520.37
317	3071.53	5375.04	5551.44
318	3006.99	5409.2	5581.82
319	2950.55	5435.85	5611.61
320	2901.09	5456.07	5640.86
321	2857.61	5470.76	5669.65
322	2819.23	5480.76	5698.03
323	2785.23	5486.74	5726.05
324	2754.97	5489.3	5753.74
325	2727.9	5488.96	5781.16
326	2703.58	5486.12	5808.31
327	2681.61	5481.17	5835.24
328	2661.64	5474.42	5861.95
329	2643.4	5466.14	5888.47
330	2626.63	5456.56	5914.82
331	2611.13	5445.87	5941.01
332	2596.72	5434.25	5967.05
333	2583.23	5421.83	5992.95
334	2570.55	5408.75	6018.72
335	2558.55	5395.1	6044.36
336	2547.15	5380.98	6069.89
337	2536.31	5366.42	6095.29
338	3433.31	5435.31	6129.17
339	3334.67	5500.15	6163
340	3249.05	5552.86	6195.91
341	3174.59	5595.21	6228.02
342	3109.72	5628.67	6259.43
343	3052.96	5654.62	6290.24
344	3003.18	5674.13	6320.51
345	2959.37	5688.13	6350.32
346	2920.66	5697.44	6379.72
347	2886.34	5702.73	6408.75
348	2855.75	5704.61	6437.45
349	2828.37	5703.58	6465.87
350	2803.73	5700.06	6494.03
351	2781.43	5694.43	6521.95
352	2761.15	5687	6549.67
353	2742.59	5678.04	6577.18
354	2725.51	5667.79	6604.52
355	2709.69	5656.43	6631.7
356	2694.96	5644.13	6658.72
357	2681.17	5631.05	6685.6
358	2668.17	5617.3	6712.35
359	2655.87	5602.99	6738.97
360	2644.15	5588.2	6765.47
361	2633	5572.98	6791.84
362	3529.69	5641.21	6826.68
363	3430.75	5705.4	6861.47
364	3344.81	5757.46	6895.34
365	3270.04	5799.16	6928.41
366	3204.87	5831.97	6960.77
367	3147.81	5857.27	6992.53
368	3097.73	5876.13	7023.75
369	3053.62	5889.49	7054.5
370	3014.62	5898.15	7084.84
371	2979.99	5902.81	7114.81
372	2949.11	5904.05	7144.45
373	2921.43	5902.38	7173.8
374	2896.49	5898.23	7202.89
375	2873.9	5891.97	7231.74
376	2853.33	5883.91	7260.37
377	2834.48	5874.32	7288.81
378	2817.1	5863.44	7317.07
379	2800.99	5851.46	7345.15
380	2785.97	5838.55	7373.09
381	2771.88	5824.85	7400.88
382	2758.58	5810.49	7428.53
383	2745.99	5795.57	7456.05
384	2733.98	5780.17	7483.45
385	2722.55	5764.33	7510.72
386	3618.96	5831.95	7546.46
387	3519.72	5895.53	7582.14
388	3433.5	5946.98	7616.9
389	3358.46	5988.07	7650.85
390	3293.02	6020.28	7684.09
391	3235.67	6044.98	7716.73
392	3185.31	6063.25	7748.83
393	3140.92	6076	7780.46
394	3101.65	6084.07	7811.66
395	3066.74	6088.14	7842.5
396	3035.58	6088.79	7873.01
397	3007.63	6086.53	7903.23
398	2982.42	6081.79	7933.17
399	2959.55	6074.95	7962.88
400	2938.71	6066.31	7992.37
401	2919.58	6056.14	8021.66
402	2901.94	6044.68	8050.77
403	2885.56	6032.12	8079.7
404	2870.27	6018.63	8108.48
405	2855.92	6004.36	8137.11
406	2842.36	5989.42	8165.6
407	2829.5	5973.92	8193.96
408	2817.24	5957.95	8222.2
409	2805.54	5941.55	8250.29
410	3701.67	6008.61	8286.86
411	3602.16	6071.63	8323.37
412	3515.68	6122.52	8358.95
413	3440.37	6163.06	8393.72
414	3374.66	6194.7	8427.78
415	3317.06	6218.85	8461.23
416	3266.44	6236.56	8494.15
417	3221.79	6248.77	8526.58
418	3182.26	6256.28	8558.6
419	3147.1	6259.8	8590.24
420	3115.69	6259.9	8621.55
421	3087.48	6257.1	8652.57
422	3062.01	6251.82	8683.31
423	3038.9	6244.43	8713.81
424	3017.8	6235.25	8744.1
425	2998.42	6224.55	8774.18
426	2980.52	6212.55	8804.07
427	2963.9	6199.46	8833.79
428	2948.36	6185.44	8863.35
429	2933.75	6170.63	8892.76
430	2919.95	6155.16	8922.03
431	2906.84	6139.14	8951.16
432	2894.33	6122.64	8980.17
433	2882.39	6105.72	9009.03
434	3778.27	6172.26	9046.37
435	3678.44	6234.75	9083.64
436	3591.71	6285.11	9119.98
437	3516.17	6325.12	9155.51
438	3450.23	6356.24	9190.33
439	3392.39	6379.88	9224.54
440	3341.53	6397.07	9258.2
441	3296.65	6408.76	9291.39
442	3256.88	6415.77	9324.15
443	3221.49	6418.77	9356.54
444	3189.84	6418.37	9388.59
445	3161.4	6415.06	9420.35
446	3135.7	6409.27	9451.83
447	3112.35	6401.38	9483.07
448	3091.02	6391.7	9514.09
449	3071.41	6380.5	9544.9
450	3053.28	6368.01	9575.52
451	3036.42	6354.42	9605.97
452	3020.65	6339.9	9636.25
453	3005.82	6324.6	9666.38
454	2991.79	6308.64	9696.37
455	2978.46	6292.13	9726.22
456	2965.72	6275.15	9755.94
457	2953.55	6257.73	9785.52
458	3849.2	6323.79	9823.56
459	3749.26	6385.8	9861.54
460	3662.31	6435.69	9898.59
461	3586.54	6475.24	9934.83
462	3520.36	6505.89	9970.35
463	3462.29	6529.05	10005.3
464	3411.21	6545.78	10039.6
465	3366.09	6557	10073.5
466	3326.1	6563.54	10107
467	3290.48	6566.08	10140
468	3258.61	6565.21	10172.8
469	3229.94	6561.44	10205.2
470	3204.02	6555.19	10237.4
471	3180.46	6546.83	10269.3
472	3158.9	6536.69	10301
473	3139.08	6525.03	10332.5
474	3120.73	6512.08	10363.8
475	3103.66	6498.03	10394.9
476	3087.68	6483.06	10425.9
477	3072.63	6467.3	10456.7
478	3058.39	6450.89	10487.3
479	3044.84	6433.92	10517.8
480	3031.89	6416.49	10548.2
481	3019.51	6398.63	10578.5
482	3914.94	6464.23	10617.2
483	3814.78	6525.81	10655.8
484	3727.6	6575.28	10693.5
485	3651.64	6614.36	10730.4
486	3585.26	6644.57	10766.6
487	3526.99	6667.29	10802.1
488	3475.69	6683.57	10837.1
489	3430.38	6694.36	10871.7
490	3390.18	6700.46	10905.8
491	3354.36	6702.56	10939.5
492	3322.28	6701.26	10972.9
493	3293.42	6697.05	11005.9
494	3267.3	6690.37	11038.7
495	3243.53	6681.58	11071.3
496	3221.77	6671.01	11103.6
497	3201.75	6658.92	11135.7
498	3183.21	6645.54	11167.6
499	3165.93	6631.07	11199.4
500	3149.75	6615.67	11231
501	3134.51	6599.49	11262.4
502	3120.07	6582.66	11293.7
503	3106.32	6565.27	11324.8
504	3093.18	6547.43	11355.8
505	3080.61	6529.14	11386.6
506	3975.84	6594.33	11426
507	3875.47	6655.48	11465.2
508	3788.1	6704.55	11503.5
509	3711.91	6743.24	11541
510	3645.35	6773.03	11577.8
511	3586.89	6795.34	11613.9
512	3535.41	6811.21	11649.5
513	3489.91	6821.59	11684.7
514	3449.53	6827.28	11719.3
515	3413.52	6828.98	11753.7
516	3381.26	6827.27	11787.6
517	3352.2	6822.66	11821.3
518	3325.89	6815.58	11854.7
519	3301.94	6806.39	11887.8
520	3280	6795.42	11920.7
521	3259.79	6782.93	11953.4
522	3241.07	6769.16	11985.9
523	3223.61	6754.29	12018.3
524	3207.25	6738.5	12050.4
525	3191.82	6721.94	12082.4
526	3177.2	6704.71	12114.2
527	3163.27	6686.94	12145.9
528	3149.94	6668.7	12177.5
529	3137.2	6650.03	12208.9
530	4032.24	6714.84	12248.8
531	3931.77	6775.6	12288.6
532	3844.24	6824.26	12327.5
533	3767.89	6862.57	12365.5
534	3701.14	6891.98	12402.9
535	3642.49	6913.92	12439.6
536	3590.82	6929.43	12475.7
537	3545.14	6939.44	12511.4
538	3504.57	6944.76	12546.7
539	3468.38	6946.09	12581.5
540	3435.94	6944.01	12616
541	3406.71	6939.03	12650.3
542	3380.23	6931.58	12684.2
543	3356.1	6922.03	12717.9
544	3333.98	6910.69	12751.3
545	3313.6	6897.84	12784.6
546	3294.7	6883.7	12817.6
547	3277.07	6868.47	12850.5
548	3260.54	6852.32	12883.1
549	3244.94	6835.39	12915.7
550	3230.15	6817.81	12948
551	3216.05	6799.67	12980.3
552	3202.55	6781.08	13012.4
553	3189.64	6762.05	13044.3
554	4084.51	6826.5	13084.7
555	3983.87	6886.91	13125
556	3896.17	6935.21	13164.4
557	3819.65	6973.17	13203
558	3752.74	7002.23	13240.8
559	3693.92	7023.82	13278.1
560	3642.09	7038.97	13314.7
561	3596.25	7048.63	13350.9
562	3555.52	7053.6	13386.7
563	3519.17	7054.58	13422.1
564	3486.56	7052.16	13457.1
565	3457.17	7046.84	13491.8
566	3430.53	7039.04	13526.2
567	3406.24	7029.15	13560.4
568	3383.97	7017.47	13594.4
569	3363.43	7004.28	13628.1
570	3344.37	6989.8	13661.6
571	3326.58	6974.23	13695
572	3309.89	6957.75	13728.2
573	3294.13	6940.48	13761.2
574	3279.19	6922.56	13794.1
575	3264.93	6904.09	13826.8
576	3251.28	6885.17	13859.4
577	3238.21	6865.81	13891.8
578	4132.93	6929.92	13932.7
579	4032.12	6990.01	13973.5
580	3944.27	7037.98	14013.4
581	3867.6	7075.6	14052.4
582	3800.54	7104.34	14090.7
583	3741.57	7125.6	14128.4
584	3689.59	7140.43	14165.6
585	3643.59	7149.77	14202.3
586	3602.71	7154.42	14238.5
587	3566.21	7155.08	14274.3
588	3533.46	7152.33	14309.8
589	3503.92	7146.69	14345
590	3477.13	7138.58	14379.9
591	3452.69	7128.37	14414.6
592	3430.27	7116.38	14449
593	3409.58	7102.87	14483.2
594	3390.38	7088.08	14517.2
595	3372.44	7072.19	14551
596	3355.6	7055.4	14584.6
597	3339.7	7037.82	14618.1
598	3324.61	7019.59	14651.4
599	3310.21	7000.82	14684.6
600	3296.42	6981.58	14717.6
601	3283.21	6961.91	14750.5
602	4177.77	7025.73	14791.8
603	4076.82	7085.51	14833.1
604	3988.8	7133.21	14873.4
605	3911.97	7170.53	14912.9
606	3844.78	7198.96	14951.7
607	3785.67	7219.92	14989.8
608	3733.56	7234.44	15027.4
609	3687.43	7243.47	15064.5
610	3646.41	7247.82	15101.2
611	3609.78	7248.18	15137.5
612	3576.89	7245.14	15173.4
613	3547.21	7239.2	15209
614	3520.28	7230.79	15244.3
615	3495.71	7220.29	15279.4
616	3473.15	7208	15314.3
617	3452.32	7194.2	15348.9
618	3432.98	7179.12	15383.3
619	3414.92	7162.95	15417.6
620	3397.94	7145.86	15451.6
621	3381.91	7127.99	15485.5
622	3366.68	7109.48	15519.3
623	3352.15	7090.41	15552.9
624	3338.22	7070.89	15586.3
625	3324.88	7050.94	15619.6
626	4219.31	7114.47	15661.3
627	4118.22	7173.97	15703
628	4030.11	7221.35	15743.8
629	3953.17	7258.38	15783.7
630	3885.84	7286.54	15822.8
631	3826.6	7307.22	15861.4
632	3774.35	7321.47	15899.4
633	3728.08	7330.23	15936.9
634	3686.93	7334.31	15974
635	3650.16	7334.4	16010.7
636	3617.14	7331.08	16047
637	3587.33	7324.87	16083
638	3560.27	7316.2	16118.8
639	3535.57	7305.42	16154.2
640	3512.89	7292.86	16189.5
641	3491.93	7278.79	16224.5
642	3472.47	7263.44	16259.3
643	3454.27	7247	16293.9
644	3437.17	7229.65	16328.4
645	3421.01	7211.52	16362.7
646	3405.66	7192.73	16396.8
647	3391	7173.41	16430.8
648	3376.95	7153.62	16464.6
649	3363.49	7133.41	16498.3
650	4257.79	7196.67	16540.5
651	4156.57	7255.91	16582.5
652	4068.33	7303.03	16623.6
653	3991.27	7339.81	16663.9
654	3923.82	7367.7	16703.5
655	3864.46	7388.12	16742.4
656	3812.09	7402.11	16780.8
657	3765.7	7410.62	16818.7
658	3724.43	7414.44	16856.1
659	3687.54	7414.27	16893.2
660	3654.41	7410.7	16929.9
661	3624.47	7404.25	16966.3
662	3597.29	7395.32	17002.4
663	3572.47	7384.29	17038.2
664	3549.67	7371.49	17073.9
665	3528.6	7357.16	17109.2
666	3509.02	7341.56	17144.4
667	3490.71	7324.87	17179.4
668	3473.49	7307.26	17214.2
669	3457.22	7288.89	17248.9
670	3441.75	7269.86	17283.4
671	3426.99	7250.28	17317.7
672	3412.82	7230.25	17351.9
673	3399.24	7209.79	17386
674	4293.42	7272.82	17428.5
675	4192.09	7331.81	17470.9
676	4103.73	7378.69	17512.4
677	4026.55	7415.23	17553
678	3958.99	7442.87	17592.9
679	3899.52	7463.06	17632.2
680	3847.04	7476.81	17670.9
681	3800.54	7485.07	17709.2
682	3759.17	7488.66	17747
683	3722.17	7488.25	17784.4
684	3688.92	7484.45	17821.4
685	3658.88	7477.75	17858.1
686	3631.6	7468.58	17894.6
687	3606.67	7457.32	17930.8
688	3583.76	7444.28	17966.7
689	3562.58	7429.73	18002.5
690	3542.89	7413.89	18038
691	3524.47	7396.97	18073.3
692	3507.15	7379.14	18108.5
693	3490.77	7360.53	18143.5
694	3475.19	7341.28	18178.3
695	3460.32	7321.48	18213
696	3446.04	7301.22	18247.5
697	3432.36	7280.54	18281.9
698	4326.44	7343.33	18324.7
699	4224.99	7402.1	18367.4
700	4136.49	7448.79	18409.2
701	4059.18	7485.13	18450.2
702	3991.52	7512.55	18490.5
703	3931.96	7532.5	18530.1
704	3879.38	7546.03	18569.1
705	3832.79	7554.07	18607.7
706	3791.31	7557.43	18645.8
707	3754.22	7556.79	18683.5
708	3720.87	7552.77	18720.9
709	3690.74	7545.85	18757.9
710	3663.36	7536.46	18794.7
711	3638.33	7524.98	18831.2
712	3615.32	7511.73	18867.5
713	3594.04	7496.96	18903.5
714	3574.25	7480.91	18939.4
715	3555.73	7463.78	18975
716	3538.31	7445.73	19010.5
717	3521.83	7426.91	19045.8
718	3506.16	7407.44	19080.9
719	3491.19	7387.43	19115.9
720	3476.81	7366.96	19150.8


