Results of Simulation 1

Time	Oral_input_uM	C_rest	C_elim	A_total
27.75	0.12792	3.86989	8.12055	1.93695
28	0.0996244	3.66984	8.28481	1.94205
28.25	0.0775876	3.4733	8.44042	1.94602
28.5	0.0604252	3.28203	8.58758	1.94911
28.75	0.0470592	3.09724	8.72654	1.95152
29	0.0366498	2.91971	8.85761	1.9534
29.25	0.0285429	2.74993	8.9811	1.95486
29.5	0.0222292	2.58814	9.09737	1.95599
29.75	0.0173121	2.43442	9.20677	1.95688
30	0.0134827	2.28869	9.30964	1.95757
30.25	0.0105003	2.1508	9.40634	1.95811
30.5	0.00817767	2.02054	9.49719	1.95853
30.75	0.00636877	1.89764	9.58253	1.95885
31	0.00496001	1.7818	9.66267	1.95911
31.25	0.00386286	1.67271	9.73791	1.9593
31.5	0.0030084	1.57004	9.80854	1.95946
31.75	0.00234294	1.47349	9.87483	1.95958
32	0.00182468	1.38272	9.93703	1.95967
32.25	0.00142107	1.29743	9.99541	1.95974
32.5	0.00110673	1.2173	10.0502	1.9598
32.75	0.00086192	1.14206	10.1016	1.95984
33	0.000671264	1.0714	10.1498	1.95988
33.25	0.000522781	1.00508	10.195	1.95991
33.5	0.000407142	0.942828	10.2374	1.95993
33.75	0.000317083	0.884406	10.2772	1.95994
34	0.000246944	0.829583	10.3145	1.95996
34.25	0.00019232	0.778143	10.3496	1.95997
34.5	0.000149779	0.72988	10.3824	1.95997
34.75	0.000116648	0.684601	10.4132	1.95998
35	9.08457e-05	0.642123	10.4421	1.95998
35.25	7.07507e-05	0.602275	10.4692	1.95999
35.5	5.51007e-05	0.564895	10.4946	1.95999
35.75	4.29125e-05	0.529832	10.5185	1.95999
36	3.34203e-05	0.496942	10.5408	1.95999
36.25	2.60277e-05	0.466092	10.5618	1.96
36.5	2.02704e-05	0.437155	10.5815	1.96
36.75	1.57866e-05	0.410014	10.5999	1.96
37	1.22946e-05	0.384557	10.6172	1.96
37.25	9.57506e-06	0.360679	10.6335	1.96
37.5	7.45707e-06	0.338283	10.6487	1.96
37.75	5.80757e-06	0.317278	10.663	1.96
38	4.52294e-06	0.297576	10.6764	1.96
38.25	3.52247e-06	0.279098	10.6889	1.96
38.5	2.7433e-06	0.261767	10.7007	1.96
38.75	2.13649e-06	0.245512	10.7118	1.96
39	1.6639e-06	0.230266	10.7221	1.96
39.25	1.29584e-06	0.215967	10.7318	1.96
39.5	1.0092e-06	0.202555	10.7409	1.96
39.75	7.85969e-07	0.189977	10.7495	1.96
40	6.12113e-07	0.178179	10.7575	1.96
40.25	4.76714e-07	0.167114	10.765	1.96
40.5	3.71266e-07	0.156736	10.7721	1.96
40.75	2.89142e-07	0.147003	10.7787	1.96
41	2.25184e-07	0.137874	10.7849	1.96
41.25	1.75373e-07	0.129312	10.7907	1.96
41.5	1.36581e-07	0.121282	10.7962	1.96
41.75	1.06369e-07	0.11375	10.8013	1.96
42	8.28405e-08	0.106686	10.8061	1.96
42.25	6.45163e-08	0.100061	10.8106	1.96
42.5	5.02453e-08	0.0938467	10.8148	1.96
42.75	3.91311e-08	0.0880188	10.8188	1.96
43	3.04753e-08	0.0825527	10.8225	1.96
43.25	2.37342e-08	0.0774261	10.826	1.96
43.5	1.84842e-08	0.0726179	10.8293	1.96
43.75	1.43955e-08	0.0681082	10.8323	1.96
44	1.12112e-08	0.0638786	10.8352	1.96
44.25	8.73133e-09	0.0599117	10.8379	1.96
44.5	6.79997e-09	0.0561911	10.8404	1.96
44.75	5.29582e-09	0.0527016	10.8428	1.96
45	4.12439e-09	0.0494288	10.845	1.96
45.25	3.21208e-09	0.0463592	10.8471	1.96
45.5	2.50157e-09	0.0434802	10.8491	1.96
45.75	1.94822e-09	0.04078	10.8509	1.96
46	1.51728e-09	0.0382476	10.8526	1.96
46.25	1.18166e-09	0.0358723	10.8542	1.96
46.5	9.20275e-10	0.0336446	10.8557	1.96
46.75	7.16711e-10	0.0315553	10.8572	1.96
47	5.58175e-10	0.0295956	10.8585	1.96
47.25	4.34707e-10	0.0277577	10.8597	1.96
47.5	3.3855e-10	0.0260339	10.8609	1.96
47.75	2.63663e-10	0.0244172	10.862	1.96
48	0	0.0229009	10.8631	1.96
48.25	4.23614	1.73393	10.9033	2.17678
48.5	3.29911	2.95992	11.0071	2.3456
48.75	2.56935	3.81476	11.1559	2.47708
49	2.00101	4.38677	11.3355	2.57948
49.25	1.55839	4.74432	11.5351	2.65923
49.5	1.21367	4.94032	11.7466	2.72133
49.75	0.94521	5.01562	11.9639	2.7697
50	0.73613	5.00172	12.1824	2.80737
50.25	0.573299	4.92287	12.3988	2.83671
50.5	0.446486	4.79764	12.6108	2.85956
50.75	0.347723	4.64027	12.8165	2.87735
51	0.270807	4.46158	13.0148	2.89121
51.25	0.210905	4.26977	13.2051	2.902
51.5	0.164253	4.07101	13.3868	2.91041
51.75	0.12792	3.86991	13.5598	2.91695
52	0.0996244	3.66985	13.7241	2.92205
52.25	0.0775876	3.47332	13.8797	2.92602
52.5	0.0604252	3.28205	14.0269	2.92911
52.75	0.0470592	3.09725	14.1658	2.93152
53	0.0366498	2.91972	14.2969	2.9334
53.25	0.0285429	2.74994	14.4204	2.93486
53.5	0.0222292	2.58816	14.5367	2.93599
53.75	0.0173121	2.43443	14.6461	2.93688
54	0.0134827	2.2887	14.7489	2.93757
54.25	0.0105003	2.15081	14.8456	2.93811
54.5	0.00817767	2.02055	14.9365	2.93853
54.75	0.00636877	1.89764	15.0218	2.93885
55	0.00496001	1.7818	15.102	2.93911
55.25	0.00386286	1.67271	15.1772	2.9393
55.5	0.0030084	1.57005	15.2478	2.93946
55.75	0.00234294	1.4735	15.3141	2.93958
56	0.00182468	1.38273	15.3763	2.93967
56.25	0.00142107	1.29743	15.4347	2.93974
56.5	0.00110673	1.21731	15.4895	2.9398
56.75	0.00086192	1.14206	15.5409	2.93984
57	0.000671264	1.07141	15.5891	2.93988
57.25	0.000522781	1.00509	15.6343	2.93991
57.5	0.000407142	0.942833	15.6767	2.93993
57.75	0.000317083	0.88441	15.7165	2.93994
58	0.000246944	0.829587	15.7539	2.93996
58.25	0.00019232	0.778146	15.7889	2.93997
58.5	0.000149779	0.729883	15.8217	2.93997
58.75	0.000116648	0.684604	15.8525	2.93998
59	9.08457e-05	0.642126	15.8814	2.93998
59.25	7.07507e-05	0.602278	15.9085	2.93999
59.5	5.51007e-05	0.564898	15.9339	2.93999
59.75	4.29125e-05	0.529834	15.9578	2.93999
60	3.34203e-05	0.496944	15.9801	2.93999
60.25	2.60277e-05	0.466094	16.0011	2.94
60.5	2.02704e-05	0.437157	16.0208	2.94
60.75	1.57866e-05	0.410016	16.0392	2.94
61	1.22946e-05	0.384558	16.0565	2.94
61.25	9.57506e-06	0.360681	16.0728	2.94
61.5	7.45707e-06	0.338285	16.088	2.94
61.75	5.80757e-06	0.317279	16.1023	2.94
62	4.52294e-06	0.297578	16.1157	2.94
62.25	3.52247e-06	0.279099	16.1282	2.94
62.5	2.7433e-06	0.261768	16.14	2.94
62.75	2.13649e-06	0.245513	16.1511	2.94
63	1.6639e-06	0.230267	16.1614	2.94
63.25	1.29584e-06	0.215968	16.1711	2.94
63.5	1.0092e-06	0.202556	16.1803	2.94
63.75	7.85969e-07	0.189977	16.1888	2.94
64	6.12113e-07	0.17818	16.1968	2.94
64.25	4.76714e-07	0.167115	16.2043	2.94
64.5	3.71266e-07	0.156737	16.2114	2.94
64.75	2.89142e-07	0.147004	16.218	2.94
65	2.25184e-07	0.137875	16.2242	2.94
65.25	1.75373e-07	0.129312	16.23	2.94
65.5	1.36581e-07	0.121282	16.2355	2.94
65.75	1.06369e-07	0.11375	16.2406	2.94
66	8.28405e-08	0.106686	16.2454	2.94
66.25	6.45163e-08	0.100061	16.2499	2.94
66.5	5.02453e-08	0.0938472	16.2541	2.94
66.75	3.91311e-08	0.0880192	16.2581	2.94
67	3.04753e-08	0.0825531	16.2618	2.94
67.25	2.37342e-08	0.0774265	16.2653	2.94
67.5	1.84842e-08	0.0726182	16.2686	2.94
67.75	1.43955e-08	0.0681085	16.2716	2.94
68	1.12112e-08	0.0638789	16.2745	2.94
68.25	8.73133e-09	0.059912	16.2772	2.94
68.5	6.79997e-09	0.0561914	16.2797	2.94
68.75	5.29582e-09	0.0527018	16.2821	2.94
69	4.12439e-09	0.049429	16.2843	2.94
69.25	3.21208e-09	0.0463594	16.2864	2.94
69.5	2.50157e-09	0.0434804	16.2884	2.94
