Iter	V_dist	k_e	C_rest_1.1	C_rest_1.2	C_rest_1.3	C_rest_1.4	C_rest_1.5	C_rest_1.6	C_rest_1.7	C_rest_1.8	C_rest_1.9	C_rest_1.10	C_rest_1.11	C_rest_1.12	C_rest_1.13	C_rest_1.14
36	0.709851	0.603047	6.30514	10.3331	12.7114	13.9108	14.0911	12.7288	8.84717	5.53305	1.88959	0.597195	0.0554252	0.00494163	0.000447794	3.67128e-05
37	0.137193	0.338962	33.743	57.2799	73.0924	83.0928	91.2114	89.7728	75.2127	57.727	30.9499	15.9347	4.12618	1.06365	0.274301	0.0705996
38	0.333002	0.0994462	14.3382	25.1522	33.2307	39.1878	46.5402	49.8951	50.4755	47.6484	39.9683	32.8834	22.1076	14.8523	9.97782	6.70313
39	0.591834	0.394695	7.76622	13.0845	16.5651	18.6774	20.1452	19.4567	15.6396	11.4691	5.565	2.57552	0.535009	0.110339	0.0227394	0.00466738
40	0.168112	0.630772	26.5298	43.3193	53.0899	57.8766	58.1584	52.0931	35.5554	21.8033	7.12895	2.14846	0.17939	0.0146394	0.00113265	6.19595e-05
41	0.428136	0.826148	10.1631	16.1816	19.3264	20.5207	19.5297	16.5319	10.0138	5.40475	1.33879	0.297454	0.0126274	0.000521249	1.53557e-05	-1.59175e-05
42	0.576876	0.806697	7.56115	12.0688	14.4507	15.3831	14.7172	12.525	7.67265	4.19042	1.06415	0.24309	0.0109687	0.000425714	1.22624e-05	-6.33989e-07
43	0.612913	0.390206	7.50345	12.6493	16.0246	18.0797	19.5288	18.8899	15.2341	11.2125	5.48395	2.55977	0.541164	0.113745	0.0238188	0.00501733
44	0.711119	0.859855	6.09287	9.65949	11.4866	12.1429	11.4531	9.60617	5.70886	3.02066	0.717086	0.152201	0.00591178	0.000190481	-7.38937e-06	-6.69435e-07
45	0.622818	0.862073	6.95476	11.0228	13.1041	13.8487	13.0544	10.9428	6.49495	3.4323	0.812528	0.171987	0.0065799	0.000208072	1.8666e-06	5.1588e-07
46	0.297119	0.5696	15.1279	24.9013	30.7709	33.8324	34.6077	31.5873	22.4497	14.3856	5.18339	1.73734	0.182949	0.0187029	0.00192736	0.000207962
47	0.281961	0.137012	16.8515	29.4079	38.6386	45.2971	53.1163	56.1614	55.1006	50.3004	39.2725	29.9994	17.3592	10.0352	5.80105	3.35353
48	0.0875817	0.489139	51.8501	86.2626	107.781	119.866	125.595	117.595	88.3278	60.127	24.7597	9.60016	1.37721	0.195405	0.0279114	0.00466879
49	0.722691	0.656269	6.15142	10.0111	12.2272	13.2828	13.2502	11.7775	7.90789	4.76379	1.49794	0.432313	0.0328339	0.0024219	0.000164403	1.34873e-05
50	0.460261	0.632863	9.68753	15.8141	19.3755	21.1163	21.2065	18.9829	12.9391	7.92309	2.58246	0.775358	0.0643555	0.00519678	0.000387129	2.56779e-05
51	0.826567	0.221497	5.68598	9.80787	12.7283	14.7285	16.7925	17.2205	15.7924	13.388	8.91221	5.76535	2.38164	0.982009	0.404865	0.166827
52	0.823084	0.433199	5.55679	9.31406	11.7283	13.1492	14.0149	13.3639	10.4449	7.42768	3.36769	1.44914	0.258705	0.0457846	0.00808154	0.00144625
53	0.128948	0.361069	35.7987	60.5868	77.0695	87.3269	95.1923	92.9884	76.6252	57.7504	29.752	14.6818	3.48253	0.821704	0.193785	0.0458822
54	0.579867	0.479012	7.84145	13.0633	16.3449	18.2041	19.1327	17.9727	13.5958	9.32736	3.90778	1.5438	0.230405	0.0338985	0.00502173	0.000740838
55	0.0889388	0.379624	51.7795	87.4144	110.906	125.323	135.816	131.841	107.156	79.5475	39.6462	18.8837	4.16284	0.91194	0.199507	0.0435978
56	0.803111	0.485789	5.65684	9.41542	11.7696	13.0954	13.7352	12.8742	9.69285	6.61511	2.73965	1.06898	0.155312	0.0222471	0.0031646	0.000447552
57	0.401669	0.19452	11.7416	20.3286	26.4854	30.7746	35.4011	36.6562	34.3416	29.8031	20.8689	14.234	6.5476	3.00734	1.38122	0.634496
58	0.495245	0.804569	8.80981	14.0657	16.8464	17.9384	17.171	14.6225	8.96802	4.90441	1.24918	0.286094	0.0131325	0.000532298	0.000104412	-2.40467e-05
59	0.310869	0.624745	14.3578	23.4628	28.7782	31.3991	31.607	28.3624	19.4355	11.9691	3.95037	1.20267	0.103009	0.0085884	0.000660267	4.70974e-05
60	0.262244	0.802909	16.6407	26.5742	31.8345	33.9055	32.4708	27.6636	16.9821	9.2962	2.37281	0.544633	0.0248877	0.0010218	2.68883e-05	4.70375e-07
61	0.38927	0.900846	11.0733	17.4643	20.659	21.7235	20.2706	16.8159	9.77113	5.05069	1.14142	0.230088	0.00786792	0.000227332	4.15176e-06	7.35832e-08
62	0.116734	0.306359	39.8232	67.9004	87.0469	99.4388	110.294	109.781	94.2716	74.3472	42.2954	23.1912	6.83372	2.00672	0.589423	0.17282
63	0.35477	0.441895	12.8777	21.5599	27.1157	30.3627	32.2755	30.6876	23.836	16.8338	7.51776	3.18253	0.548827	0.093812	0.0160824	0.00269375
64	0.199176	0.543105	22.6432	37.4028	46.3875	51.1939	52.7787	48.5739	35.1497	22.9694	8.64087	3.03653	0.353805	0.0400125	0.00453892	0.000515905
65	0.86179	0.428228	5.3106	8.90732	11.2241	12.5931	13.4425	12.8389	10.0711	7.18985	3.28824	1.42831	0.260026	0.0469627	0.00841327	0.00151224
66	0.210082	0.755955	20.8959	33.5713	40.4644	43.3669	42.0676	36.3172	22.9224	12.9229	3.51473	0.864725	0.0465763	0.00230913	0.000140163	1.39554e-05
67	0.378438	0.469061	12.0305	20.0684	25.1448	28.0454	29.5652	27.8624	21.2259	14.6756	6.25373	2.51652	0.390213	0.0600723	0.00921595	0.00143251
68	0.11196	0.492535	40.5427	67.4201	84.1998	93.596	97.9682	91.6269	68.6594	46.6154	19.0839	7.35401	1.04045	0.145113	0.0200222	0.00273839
69	0.78612	0.565462	5.7207	9.4218	11.6497	12.8162	13.1261	11.9958	8.54919	5.49507	1.99301	0.67297	0.0718809	0.00755496	0.000832345	0.000102233
70	0.074042	0.278078	63.0141	107.857	138.833	159.276	178.281	179.205	157.256	127.01	76.1137	44.0887	14.5379	4.78032	1.57127	0.51631
71	0.053227	0.254023	87.9285	150.996	195.037	224.569	253.332	256.809	229.595	189.278	118.593	71.9893	26.123	9.45692	3.42286	1.23871
72	0.862193	0.628688	5.1742	8.45106	10.3601	11.2975	11.3594	10.1813	6.95844	4.27333	1.40195	0.424011	0.0356702	0.00289212	0.00022435	1.53378e-05
73	0.137446	0.434781	33.2697	55.7535	70.1895	78.6751	83.8099	79.8728	62.3546	44.2863	20.0263	8.59205	1.5245	0.268635	0.0470959	0.00835087
74	0.637111	0.605352	7.02295	11.5059	14.1497	15.4799	15.6701	14.145	9.81644	6.12957	2.08573	0.656568	0.0603529	0.0053704	0.000489485	3.28667e-05
75	0.757722	0.314631	6.12862	10.438	13.3657	15.2496	16.8698	16.7432	14.2869	11.1897	6.27078	3.38383	0.964843	0.27412	0.0778746	0.022089
76	0.344703	0.59676	12.9946	21.3136	26.241	28.7421	29.1682	26.3987	18.425	11.5756	3.99256	1.27598	0.12118	0.0112615	0.00108911	0.000129442
77	0.594505	0.33126	7.79452	13.2453	16.92	19.2568	21.1889	20.91	17.6202	13.6106	7.40018	3.86711	1.03223	0.274408	0.072931	0.0193527
78	0.180579	0.340788	25.6298	43.4967	55.4897	63.0647	69.1867	68.0533	56.9345	43.6321	23.3158	11.9621	3.0752	0.787134	0.20116	0.0514833
79	0.394938	0.625937	11.2998	18.4627	22.6418	24.6997	24.8547	22.2955	15.2654	9.39301	3.0943	0.94012	0.0801181	0.00655958	0.000507576	3.94722e-05
80	0.238874	0.264054	19.5673	33.5561	43.2807	49.7589	55.9494	56.5167	50.1349	40.9775	25.2006	15.0017	5.23103	1.81923	0.632546	0.219925
81	0.464829	0.421756	9.85397	16.5418	20.8631	23.4301	25.0611	23.9874	18.9041	13.5656	6.2757	2.75958	0.515306	0.0953871	0.0176448	0.00323712
82	0.103519	0.845915	41.9281	66.5898	79.3279	84.0123	79.5337	66.9612	40.1069	21.3951	5.16717	1.11749	0.0451685	0.00155283	8.10075e-05	-3.34708e-06
83	0.811147	0.207463	5.80458	10.0318	13.0454	15.128	17.3276	17.8587	16.5603	14.2109	9.71174	6.45771	2.82098	1.23031	0.53657	0.233978
84	0.0518029	0.133764	91.7604	160.205	210.592	247.011	289.968	306.955	301.952	276.444	217.18	166.963	97.8744	57.3226	33.5699	19.6594
85	0.0502894	0.453839	90.708	151.621	190.376	212.805	225.381	213.458	164.385	115.014	50.3142	20.8292	3.42948	0.559253	0.0906853	0.013445
86	0.180969	0.333008	25.6002	43.4922	55.5457	63.2014	69.508	68.5509	57.6896	44.4961	24.1148	12.5589	3.32954	0.879157	0.232057	0.0613063
87	0.71696	0.267166	6.51675	11.1709	14.4018	16.5496	18.5896	18.7577	16.5998	13.5318	8.27376	4.89547	1.68587	0.579036	0.198899	0.0683199
88	0.609391	0.891201	7.08203	11.1831	13.2451	13.9451	13.0451	10.8499	6.33742	3.29389	0.752775	0.153585	0.00539515	0.000160406	5.68015e-06	-3.84995e-07
89	0.226668	0.308793	20.5026	34.9467	44.7859	51.1437	56.6831	56.3715	48.3174	38.0273	21.538	11.7541	3.43056	0.997712	0.290157	0.0843822
