"","chem","CAS","ToxCast","Tox21","ExpoCast","NHANES","Expo.Total_median","Expo.Total_95perc","Css.med_med.3cpt.plasma.uM","Css.med_95.3cpt.plasma.uM","Css.95perc_med.3cpt.plasma.uM","Css.95perc_95.3cpt.plasma.uM","Css.med_medpbtk.plasma.uM","Css.med_95pbtk.plasma.uM","Css.95perc_medpbtk.plasma.uM","Css.95perc_95pbtk.plasma.uM","No.ToxData","Min.AC50","Max.AC50"
"20","2,4,5-TRICHLOROPHENOL","95-95-4",1,1,1,1,1.23e-08,1.3e-06,"1.29411696981012e-07","1.86022805408022e-06","1.36776590305135e-05","0.00019660946913043","1.31769738785026e-07","1.83838000727238e-06","1.3926882961019e-05","0.000194300325971878","111",0.552,133
"21","PARATHION","56-38-2",1,1,1,1,8.86e-08,5.21e-06,"1.65447086391446e-06","2.21821054933637e-05","9.72888623137061e-05","0.00130438791896642","1.63398599170318e-06","2.20038766431141e-05","9.60842778416881e-05","0.00129390741885581","74",0.1,81.8
"22","LEAD","7439-92-1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"23","CADMIUM","7440-43-9",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"24","ZINC","7440-66-6",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"25","BENZO(B)FLUORANTHENE","205-99-2",1,1,1,NA,1.22e-06,6.86e-05,"2.19860944787409e-06","2.87935258952081e-05","0.000123626727970625","0.00161904580033711","2.16505929207111e-06","2.85898933128749e-05","0.0001217402192099","0.00160759564037969","48",0.004,253
"26","TRIFLURALIN","1582-09-8",1,1,1,NA,1.57e-06,9.82e-05,"0.000451129235878532","0.00450516139946803","0.028217128002084","0.281787802183287","0.000449884112696165","0.00393681858313666","0.0281392483227792","0.246239226028038","61",0.0946,113
"27","ACENAPHTHENE","83-32-9",1,1,1,NA,5.23e-08,3.17e-06,"9.64023103340828e-07","8.05714823716135e-06","5.8431228252207e-05","0.000488358698122399","9.38738798175392e-07","1.04485281130953e-05","5.68986996217207e-05","0.000633304667657977","4",2.45,78.1
"28","DDD, P,P'-","72-54-8",1,1,1,NA,1.11e-07,5.19e-06,"3.2966329851998e-05","0.000432531727104222","0.00154139866605288","0.020223780753792","3.29957695198027e-05","0.000298704759062803","0.00154277516943942","0.0139664657615851","143",0.981,133
"29","BENZIDINE","92-87-5",1,1,1,NA,1.46e-06,0.000131,"2.07475588989998e-06","8.14897292070149e-06","0.000186159603819793","0.000731174967542394","1.6280114144945e-06","8.66177306040006e-06","0.000146074996779986","0.000777186486926307","32",3.11,632
"30","ENDOSULFAN","115-29-7",1,1,1,NA,1.36e-07,9.43e-06,"3.23671136779149e-05","0.000386268057973622","0.00224427854399072","0.0267831454903769","3.47626755753696e-05","0.000305088711875902","0.00241038257849805","0.0211543128896306","131",0.164,253
"31","METHOXYCHLOR","72-43-5",1,1,1,NA,1.07e-07,7.95e-06,"3.2951318423732e-08","2.35060403300286e-07","2.44825216325859e-06","1.74647682825913e-05","1.68973592592913e-08","2.26505811944903e-07","1.2554580010408e-06","1.68291701398316e-05","105",0.476,181
"32","2,4-DINITROPHENOL","51-28-5",1,1,1,NA,6.19e-08,3.2e-06,"5.97158514767436e-06","1.36697900478423e-05","0.000308708763692374","0.000706677353038699","5.97349986697867e-06","1.41941472330569e-05","0.000308807747565941","0.000733784671175801","20",0.0944,122
"33","2,4-DINITROTOLUENE","121-14-2",1,1,1,NA,3.63e-08,3.07e-06,"1.07070679087573e-06","2.55881131086162e-06","9.05528883743384e-05","0.000216406356042566","1.09796171138741e-06","2.52172026157421e-06","9.28579188418551e-05","0.000213269454629003","6",4.85,28.3
"34","DICOFOL","115-32-2",1,1,1,NA,1.16e-07,5.24e-06,"6.45993059192542e-07","6.95437138702268e-06","2.91810657773183e-05","0.000314145741965507","5.49657439114484e-07","1.18941510054475e-05","2.4829353284137e-05","0.000537287510935734","133",0.634,117
"35","CRESOL, PARA-","106-44-5",1,1,1,NA,3.96e-06,0.000251,"2.58516138843467e-06","9.0648566156655e-06","0.000163857451640682","0.00057456540670001","9.49452579888619e-07","5.86337664407434e-06","6.01799488767786e-05","0.000371643317591581","6",0.156,25.3
"36","MERCURIC CHLORIDE","7487-94-7",1,1,1,NA,2.17e-08,2.77e-06,NA,NA,NA,NA,NA,NA,NA,NA,"208",0.126,126
"37","DDT, O,P'-","789-02-6",1,1,1,1,1.16e-07,7.4e-06,"2.31070219621491e-08","1.0702032187902e-07","1.47406864241296e-06","6.82715846469611e-06","6.14983972820194e-09","8.95712178444219e-08","3.92317361971503e-07","5.71402596593726e-06","124",0.105,112
"38","4,6-DINITRO-O-CRESOL","534-52-1",1,1,1,NA,7.19e-08,5.42e-06,"3.69249727290655e-05","0.000370595248719143","0.00278349585801857","0.0279363873165196","3.36556899767129e-05","0.000310367529328484","0.0025370492305116","0.0233962727254573","84",0.00223,164
"39","1,2,3-TRICHLOROBENZENE","87-61-6",1,1,1,NA,2.19e-07,1.49e-05,"4.92941149479921e-06","6.44101956412531e-05","0.00033538005147264","0.00438224618746425","5.16806104164067e-06","6.96222134577748e-05","0.000351616938449525","0.00473685379233262","8",0.00215,15.5
"40","CHROMIUM, HEXAVALENT","18540-29-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"41","COBALT","7440-48-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"42","NICKEL","7440-02-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
