"Compound" "ExpoCast.group" "css95" "oed.AC50p10" "exposure.median.95CI.upper" "aer"
"Methidathion" "Total" 3.24049348696228 0.197439063702537 5.27283510956566e-05 3744.4573858256
"Coumaphos" "Total" 36.3431276398106 0.0170045904173376 4.52425245257697e-06 3758.54145973926
"Dibutylphthalate" "Total" 1.57411960607887 1.37854835910815 0.000286928943746304 4804.49389702223
"Ethion" "Total" 36.1248547506816 0.0284347164047938 4.88504794972571e-06 5820.76505643929
"Lindane" "Total" 105.744650338593 0.0591613852801854 8.23890501161147e-06 7180.7339927826
"Bisphenol-a" "Total" 2.98675696318746 0.261152818797679 3.08144966778762e-05 8474.99868414785
"Chlorpyrifos" "Total" 191.766486878403 0.0481210254732954 4.91526628514081e-06 9790.11566855872
"Phosphonothioic acid" "Total" 39.1400782719127 0.0490034789065911 4.73349660354023e-06 10352.4905605596
"Phosmet" "Total" 4.15526773498574 0.870220700715548 5.33955108461398e-05 16297.63788988
"Quintozene" "Total" 37.5993561433108 0.236121064577842 8.59303876074467e-06 27478.1798560606
"Propylparaben" "Total" 2.85939121948978 3.63713783868153 0.000120749145350193 30121.4375317789
"Methyl parathion" "Total" 12.5713497032273 0.119318930378249 3.57574015331487e-06 33369.0159973273
"Carbofuran" "Total" 11.3033903115942 0.0277090316591773 7.15893217977996e-07 38705.5373110532
"Dicrotophos" "Total" 6.31559229287918 0.117962016142173 2.95537970661881e-06 39914.3351624118
"Azinphos-methyl" "Total" 0.619506706141807 2.82482817804949 5.93341953408231e-05 47608.7720044625
"Diazinon" "Total" 32.7971684489307 0.197882936452449 4.10921314563378e-06 48155.9192573663
"Pentachlorophenol" "Total" 9.78867134593798 0.476877794240899 7.87152088469164e-06 60582.6753465548
"2-phenylphenol" "Total" 169.206811175486 0.0644182106162114 9.29680013236571e-07 69290.7341225365
"Disulfoton" "Total" 22.9946984710677 0.402875471998736 3.78588611533319e-06 106415.105929112
"Atrazine" "Total" 37.1539475007757 0.0482048374526719 3.80518713446316e-07 126681.910111821
"Dimethyl phthalate" "Total" 8.95789100469096 2.25946040082437 1.52061194898834e-05 148588.888988251
"Acephate" "Total" 7.83410431687034 0.286312245698569 1.43837492630544e-06 199052.583900347
"Carbaryl" "Total" 0.432539436070546 16.2528532978746 5.98076842782413e-05 271751.924422655
"Ethylparaben" "Total" 1.9194316099698 7.29382590517006 1.99904457511776e-05 364865.596093094
"Pyrene" "Total" 9.28867395370026 0.918107368447653 1.8354888443357e-06 500197.738210681
"Butylparaben" "Total" 4.6209034872373 0.774307450887528 1.51187964897227e-06 512148.868075497
"Carbosulfan" "Total" 6.39236170978326 1.02904064235486 1.30210805945414e-06 790288.206023585
"Diethyltoluamide" "Total" 3.76535171679748 0.988091493127336 6.43626700279974e-07 1535193.4478441
"p-tert-Octylphenol" "Total" 2.26440572342981 2.06455934624602 1.26781463634783e-06 1628439.43196093
"Nitrobenzene" "Total" 4.34780455763045 4.05262006754114 1.78350506268809e-06 2272278.42091631
"Metolachlor" "Total" 0.745395755881091 7.08348546170458 4.9855608924797e-07 14208001.0944996
"Alachlor" "Total" 0.524721104899915 5.22182160087239 3.11199304948097e-07 16779669.8702245
"Acetochlor" "Total" 0.272419419099438 7.28288756564673 2.10873457216312e-07 34536767.5087529
