"Compound" "ExpoCast.group" "css95" "oed.AC50p10" "exposure.median.95CI.upper" "aer"
"Methyl parathion" "Age.6.11" 5.52437395219399 0.271523979546004 8.85764602544617e-06 30654.1917306215
"Carbofuran" "Age.6.11" 6.37405068965699 0.049137670101719 1.10886548790866e-06 44313.4632987754
"2-phenylphenol" "Age.6.11" 82.6498702118678 0.131881634805457 2.86250821508108e-06 46072.0546095347
"Pentachlorophenol" "Age.6.11" 5.21412951277456 0.895259695518389 1.52535469811469e-05 58691.9027177687
"Diazinon" "Age.6.11" 20.2832269386799 0.319968810664127 4.28667792805099e-06 74642.605774119
"Dimethyl phthalate" "Age.6.11" 4.53707204634729 4.46102680170019 5.82573740825112e-05 76574.4572589547
"Dicrotophos" "Age.6.11" 2.99504933878955 0.248743815452834 3.05529548830645e-06 81413.9962582515
"Phosmet" "Age.6.11" 2.09141163858633 1.72897574694774 2.05952166140012e-05 83950.355043721
"Propylparaben" "Age.6.11" 1.25038037987344 8.31746896176719 9.6812026564823e-05 85913.5921113893
"Azinphos-methyl" "Age.6.11" 0.365513332460151 4.78778705067013 3.92313345420361e-05 122039.872121609
"Disulfoton" "Age.6.11" 14.7859740941735 0.626539715340808 4.0744748676805e-06 153771.893480222
"Atrazine" "Age.6.11" 18.7895281809538 0.0953190512689654 4.23153481521149e-07 225258.813720055
"Acephate" "Age.6.11" 3.96532935505735 0.565652887606749 2.06800476807947e-06 273525.910741523
"Pyrene" "Age.6.11" 7.39825957550104 1.15270353965952 3.56968692937452e-06 322914.463499324
"Butylparaben" "Age.6.11" 2.14933938851241 1.6646975434049 2.51136611164464e-06 662865.336792621
"Carbaryl" "Age.6.11" 0.191304571438382 36.747684319004 5.28840802004432e-05 694872.33548776
"Ethylparaben" "Age.6.11" 1.15593019192608 12.1114580255684 1.60994689494313e-05 752289.287529342
"Carbosulfan" "Age.6.11" 2.23962895526385 2.93709365765235 1.84130318805446e-06 1595116.80461256
"p-tert-Octylphenol" "Age.6.11" 1.21943065020288 3.83375635114813 1.62153417414234e-06 2364277.24576072
"Nitrobenzene" "Age.6.11" 1.50485525403415 11.7087673068656 4.83852828109011e-06 2419902.62878605
"Diethyltoluamide" "Age.6.11" 1.84265419181922 2.0191048415475 7.49403824643541e-07 2694281.47435451
"Metolachlor" "Age.6.11" 0.352146880143161 14.993743513654 5.63191632476278e-07 26622809.4471654
"Alachlor" "Age.6.11" 0.22641934362084 12.1014395509793 3.51799355171904e-07 34398697.3627795
"Acetochlor" "Age.6.11" 0.127445998250933 15.5673777696309 2.55913212175124e-07 60830691.9260503
"Alachlor" "Age.GT65" 0.779325376456158 3.51586138829414 NA NA
"2,4-d" "Age.GT65" 202.47002807247 1.06015691331445e-06 1.41117697524677e-05 0.0751257235563287
"Naphthalene" "Age.GT65" 102.792159284478 3.89134738276094e-05 7.38362859682964e-05 0.52702371628386
"Triclosan" "Age.GT65" 5334.14910158069 0.00113720105765368 0.000159891138694138 7.11234573061037
"Malathion" "Age.GT65" 64.727095326752 0.00609482007509383 9.32165599803747e-05 65.3834477090444
"Fenitrothion" "Age.GT65" 304.521735170283 0.00660708175354026 7.65065453683502e-05 86.3596927783061
"Methylparaben" "Age.GT65" 2.1730572158724 0.0884836342989739 0.000794677697523774 111.345309645269
"Dimethoate" "Age.GT65" 2.22088177026904 0.00742948148833749 6.25722015768842e-05 118.734538678628
"Permethrin" "Age.GT65" 4350.38728849569 0.00105461874903245 5.94952303399766e-06 177.261058240466
"Di-n-octyl phthalate" "Age.GT65" 217.2403441999 0.0226707429420574 6.85923315107165e-05 330.514249082136
"Pirimiphos-methyl" "Age.GT65" 65.6480775379887 0.0391481380168797 8.64209428344831e-05 452.993646364838
"Chlorethoxyfos" "Age.GT65" 4956.16689903374 0.00227998778697365 4.92361572226392e-06 463.071838986917
"Parathion" "Age.GT65" 446.079867574426 0.0047637209263775 6.23969725117204e-06 763.453855951537
"Chlorpyrifos-methyl" "Age.GT65" 115.807795173528 0.0849165635634858 9.43925855110754e-05 899.610526650128
"Diethylphthalate" "Age.GT65" 1.52344264519551 1.2796674729752 0.00120914574750595 1058.32359383864
"Fenthion" "Age.GT65" 26.2884966073256 0.097761391166197 7.49245281415721e-05 1304.79822283931
"Coumaphos" "Age.GT65" 70.9945110589547 0.00870489831934761 5.52298659259842e-06 1576.121573609
"Methidathion" "Age.GT65" 4.63908850673833 0.137915023408302 8.66730532433128e-05 1591.20993489337
"Diphenylenemethane" "Age.GT65" 64.7681774025772 0.0122436670569094 7.39532325331295e-06 1655.59592698325
"Phorate" "Age.GT65" 1343.17139372966 0.00638191078221048 3.77837591563917e-06 1689.06189450207
"Ethion" "Age.GT65" 54.3571052231399 0.0188972535565179 5.81868214879589e-06 3247.6861724486
"Dibutylphthalate" "Age.GT65" 2.55987153192168 0.847698789935367 0.000202028303922954 4195.94073441634
"Lindane" "Age.GT65" 122.984990244065 0.0508679960667145 8.93965112874747e-06 5690.15449642514
"Phosmet" "Age.GT65" 6.21988724087432 0.581361021504902 8.87976917693845e-05 6547.02853104277
"Chlorpyrifos" "Age.GT65" 255.956445477637 0.0360530088733642 4.90304279478249e-06 7353.19073937709
"Bisphenol-a" "Age.GT65" 4.24643834697902 0.183683345021341 2.30607188191529e-05 7965.20466087051
"Phosphonothioic acid" "Age.GT65" 43.3864062713733 0.0442073950076274 5.12339999689936e-06 8628.52696146726
"Quintozene" "Age.GT65" 65.4069951739991 0.135734717309399 9.27585925038579e-06 14633.1152344462
"Dicrotophos" "Age.GT65" 10.7284172182449 0.0694417438140868 4.23883929833737e-06 16382.2544160437
"Methyl parathion" "Age.GT65" 20.3396011720364 0.0737477587349279 3.76255446419582e-06 19600.4494916169
"Azinphos-methyl" "Age.GT65" 1.03912547627145 1.6841084546202 7.79721059657563e-05 21598.8581270311
"Carbofuran" "Age.GT65" 19.1798263014293 0.0163299706200498 7.34980096099086e-07 22218.248775336
"2-phenylphenol" "Age.GT65" 260.582293315998 0.0418293962390683 1.67905117980567e-06 24912.520084057
"Diazinon" "Age.GT65" 41.788612134259 0.155305468847562 4.34974308232877e-06 35704.5153950596
"Pentachlorophenol" "Age.GT65" 14.5678201380386 0.32043229225567 8.26793010596678e-06 38756.0475413817
"Propylparaben" "Age.GT65" 3.56373745307113 2.91828456415541 7.35634397214016e-05 39670.3114374137
"Disulfoton" "Age.GT65" 52.6211855396986 0.176050765580168 4.05072768292275e-06 43461.5158956182
"Atrazine" "Age.GT65" 57.573750761417 0.031107926378148 4.97184770821605e-07 62568.1400633847
"Dimethyl phthalate" "Age.GT65" 15.6442257928081 1.29376808210634 1.34742091355576e-05 96018.1090474669
"Acephate" "Age.GT65" 13.1483447502246 0.170591815366088 1.71156990342484e-06 99669.7914731589
"Carbaryl" "Age.GT65" 0.768488921189221 9.14782218216135 5.69702063581821e-05 160572.038736306
"Ethylparaben" "Age.GT65" 3.05956110224119 4.57581971144316 2.30184234740142e-05 198789.448660933
"Butylparaben" "Age.GT65" 6.46234386239493 0.553669082950036 2.43854357800648e-06 227049.082880308
"Pyrene" "Age.GT65" 16.8486077813722 0.506154580286958 9.02795500754563e-07 560652.528578078
"Carbosulfan" "Age.GT65" 7.22605469522434 0.910316940217373 1.37563754908713e-06 661741.852584249
"Diethyltoluamide" "Age.GT65" 5.47568352445491 0.679460743737991 7.03415269443188e-07 965945.399899893
"p-tert-Octylphenol" "Age.GT65" 3.06517514871953 1.52519832413263 1.33548467186507e-06 1142056.03124041
"Nitrobenzene" "Age.GT65" 5.48081099308405 3.21485269647754 1.88745041019148e-06 1703277.96646663
"Metolachlor" "Age.GT65" 1.37597290427874 3.83728486482637 5.96340987337096e-07 6434715.95330282
"Acetochlor" "Age.GT65" 0.268187028021717 7.39782238773809 2.36354879003642e-07 31299638.9959189
"2,4-d" "BMIgt30" 149.676110778158 1.43409658952285e-06 1.50680752056214e-05 0.0951745043711908
"Naphthalene" "BMIgt30" 91.5903549682852 4.36727207945102e-05 8.18272914256564e-05 0.533718274595325
"Triclosan" "BMIgt30" 2891.64414153686 0.00209776850230818 0.000174915594084289 11.9930330585465
"Methylparaben" "BMIgt30" 2.15794113440642 0.0891034500127317 0.0008409224929366 105.959170745418
"Fenitrothion" "BMIgt30" 333.247657452978 0.00603755181770153 3.95671803834343e-05 152.589892916132
"Malathion" "BMIgt30" 43.092460438798 0.00915473370475766 5.2197256994139e-05 175.387256571463
"Permethrin" "BMIgt30" 3299.14915224962 0.00139066158826785 7.01508283931499e-06 198.238797762173
"Dimethoate" "BMIgt30" 2.39635554885476 0.00688545571123011 3.23407843315899e-05 212.903176392804
"Di-n-octyl phthalate" "BMIgt30" 155.916242748516 0.0315874723068061 7.00399936627936e-05 450.991935534482
"Pirimiphos-methyl" "BMIgt30" 76.5711598368877 0.0335635506302194 4.57340719201643e-05 733.885027530668
"Chlorethoxyfos" "BMIgt30" 3135.12387365577 0.00360432329164188 4.28748957548609e-06 840.660537637166
"Diethylphthalate" "BMIgt30" 1.39244636333165 1.40005392763245 0.00131668448991629 1063.31770318147
"Parathion" "BMIgt30" 352.064711330412 0.00603582219862329 5.28501799229023e-06 1142.06275313127
"Diphenylenemethane" "BMIgt30" 49.4180876303957 0.0160467561175364 1.04414993855117e-05 1536.82488741055
"Coumaphos" "BMIgt30" 74.3626013028732 0.00831062912233171 4.54721830977254e-06 1827.62923532198
"Chlorpyrifos-methyl" "BMIgt30" 100.374271948651 0.097973313370889 4.56100508541604e-05 2148.06411166174
"Fenthion" "BMIgt30" 26.889115191371 0.0955777079948224 3.96824428103927e-05 2408.56412120352
"Phorate" "BMIgt30" 833.646167324431 0.0102825399263955 3.3801933834688e-06 3041.99753087599
"Dibutylphthalate" "BMIgt30" 2.5997879688527 0.834683453419332 0.000212200140445003 3933.47267192625
"Methidathion" "BMIgt30" 3.80138460325528 0.168307095117951 4.18739987410957e-05 4019.37001905604
"Ethion" "BMIgt30" 39.611263583895 0.0259320179934284 5.10226255495624e-06 5082.45463931262
"Lindane" "BMIgt30" 126.673097597556 0.0493869662828923 7.03664798118262e-06 7018.53587318319
"Chlorpyrifos" "BMIgt30" 255.167769567687 0.0361644419890268 4.77238611699828e-06 7577.8533216783
"Bisphenol-a" "BMIgt30" 3.24843229638 0.240115824753134 2.74038040784852e-05 8762.13477754533
"Phosphonothioic acid" "BMIgt30" 43.8052530491025 0.0437847031233916 4.23621022364775e-06 10335.8192374337
"Phosmet" "BMIgt30" 4.74466644729624 0.762118905547215 4.46718363786027e-05 17060.3889906854
"Methyl parathion" "BMIgt30" 20.4159636120239 0.0734719177847955 3.39006928409171e-06 21672.6891481454
"Diazinon" "BMIgt30" 65.7947820723939 0.0986400409816551 4.24010263061849e-06 23263.5975057205
"Quintozene" "BMIgt30" 52.9768645334573 0.167582586817556 7.17103147714156e-06 23369.3837980971
"Propylparaben" "BMIgt30" 4.22291873776313 2.46275162886721 9.19829841708123e-05 26773.9914188246
"Dicrotophos" "BMIgt30" 7.14496411496806 0.104269243065797 3.08558748866387e-06 33792.3469837985
"Carbofuran" "BMIgt30" 14.7214347027638 0.0212755078783998 6.24654039967642e-07 34059.6658584036
"Azinphos-methyl" "BMIgt30" 1.16481434354402 1.50238534552684 4.09398797396918e-05 36697.3561006886
"Pentachlorophenol" "BMIgt30" 13.7019411091723 0.340681656913206 6.5294687071709e-06 52176.0149549468
"2-phenylphenol" "BMIgt30" 194.985679961672 0.0559015410882615 9.19717750858673e-07 60781.1918776933
"Disulfoton" "BMIgt30" 39.5211341521967 0.23440622843272 3.42351598500477e-06 68469.4417842462
"Atrazine" "BMIgt30" 45.1176269293172 0.039696236745914 4.01304429699424e-07 98918.0128802624
"Dimethyl phthalate" "BMIgt30" 11.5140881263925 1.75784654223777 1.33365577417599e-05 131806.615790635
"Acephate" "BMIgt30" 9.70151716193966 0.231200951620184 1.63788240649015e-06 141158.456006393
"Carbaryl" "BMIgt30" 0.676387665619581 10.3934479549689 4.67543605352256e-05 222299.007750053
"Butylparaben" "BMIgt30" 5.23900537528436 0.682954061639189 2.72738879634224e-06 250405.832331318
"Pyrene" "BMIgt30" 15.8969186510286 0.536456164065996 1.49334260521207e-06 359231.808021585
"Ethylparaben" "BMIgt30" 2.61110607293957 5.36171247315084 1.27939993771492e-05 419080.251225208
"Carbosulfan" "BMIgt30" 7.53400977038226 0.873107442182976 1.08658566438307e-06 803533.003243421
"Diethyltoluamide" "BMIgt30" 5.30818030168509 0.700901587464714 6.66072584094718e-07 1052290.10201243
"p-tert-Octylphenol" "BMIgt30" 2.69256935329821 1.73625982716971 1.31207949095458e-06 1323288.59580491
"Nitrobenzene" "BMIgt30" 5.9761184041758 2.94840209117812 1.59347581189857e-06 1850296.10688926
"Metolachlor" "BMIgt30" 1.15084449203649 4.58793523932736 5.86681200995131e-07 7820150.41822592
"Alachlor" "BMIgt30" 0.904108059824111 3.03061118660202 3.12820081080804e-07 9688032.73795965
"Acetochlor" "BMIgt30" 0.387259157384496 5.12318420925075 1.55542051887672e-07 32937614.9219798
"2,4-d" "BMIle30" 107.278760990988 2.0008620347324e-06 1.98628705535515e-05 0.10073378011189
"Naphthalene" "BMIle30" 59.2171157163443 6.75480382928542e-05 0.000101628333604521 0.664657540836124
"Triclosan" "BMIle30" 3006.25946172269 0.00201778990710402 0.000243341398430923 8.29201245704523
"Fenitrothion" "BMIle30" 232.77222513011 0.00864364293839342 6.91240783216709e-05 125.045326437048
"Malathion" "BMIle30" 34.3248209284449 0.0114931408039212 8.25165379202125e-05 139.282877028048
"Methylparaben" "BMIle30" 0.965554467186896 0.199139464975187 0.00113542488397519 175.387617257416
"Permethrin" "BMIle30" 2001.87600096051 0.00229185024337105 7.03580684989241e-06 325.740926700695
"Dimethoate" "BMIle30" 1.13688641012001 0.014513323277616 3.99092614552264e-05 363.658026944404
"Di-n-octyl phthalate" "BMIle30" 109.997898868517 0.0447735825016707 9.35093728661149e-05 478.81384645555
"Pirimiphos-methyl" "BMIle30" 35.8758708292887 0.0716358917733051 7.52819741926418e-05 951.567656687554
"Chlorethoxyfos" "BMIle30" 2257.19629046793 0.00500621060193992 4.52651976223152e-06 1105.97343321261
"Parathion" "BMIle30" 226.687768257669 0.0093741273132328 5.48749276927583e-06 1708.27146519773
"Chlorpyrifos-methyl" "BMIle30" 59.308812856771 0.165810096785259 8.00839671378084e-05 2070.45308457226
"Diethylphthalate" "BMIle30" 0.65294071149911 2.98572284690914 0.00131141901707323 2276.71156818554
"Fenthion" "BMIle30" 16.0762636960965 0.159863015970809 6.9406185890111e-05 2303.29636934546
"Diphenylenemethane" "BMIle30" 22.9645086848106 0.0345315465218079 1.20048296551838e-05 2876.47117982194
"Coumaphos" "BMIle30" 44.1665650918439 0.013992485010208 4.6459195281362e-06 3011.77946054983
"Phorate" "BMIle30" 714.261482044151 0.0120012071426107 3.366687236201e-06 3564.69321342514
"Methidathion" "BMIle30" 2.29568959612603 0.278696214453234 5.39456161521303e-05 5166.24397554923
"Dibutylphthalate" "BMIle30" 1.35209041655548 1.60492225477656 0.000301514033431478 5322.87746779552
"Ethion" "BMIle30" 22.4410434157184 0.045773272702664 5.293188726779e-06 8647.57994950955
"Lindane" "BMIle30" 63.4668197446539 0.0985711908233273 9.27853729419287e-06 10623.5700410473
"Bisphenol-a" "BMIle30" 1.59894195170714 0.487822587409891 3.30463701923375e-05 14761.7600532419
"Phosphonothioic acid" "BMIle30" 24.9531890639799 0.0768639228870609 4.91315859232645e-06 15644.5027048607
"Chlorpyrifos" "BMIle30" 129.250067711691 0.071396480971942 4.33799616636361e-06 16458.4011220534
"Phosmet" "BMIle30" 3.27450619902016 1.10428864085889 6.52467507252172e-05 16924.8066545036
"Propylparaben" "BMIle30" 2.17807351217858 4.77486179499863 0.000142849115481433 33425.9108214027
"Quintozene" "BMIle30" 27.2703300963748 0.32555528182551 9.33575148306503e-06 34871.888183406
"Carbofuran" "BMIle30" 10.2297247937221 0.0306172459490025 8.5418428995201e-07 35843.8410881131
"Methyl parathion" "BMIle30" 9.21975788208137 0.162694077131381 3.77514350485762e-06 43096.1304973006
"Dicrotophos" "BMIle30" 5.07781576642327 0.146716626650038 2.76123585397275e-06 53134.4058997889
"Azinphos-methyl" "BMIle30" 0.505048061837873 3.46501676222999 5.33821914633506e-05 64909.6012592306
"Pentachlorophenol" "BMIle30" 7.83182257433474 0.596029845632262 8.3626074596222e-06 71273.206175241
"2-phenylphenol" "BMIle30" 140.837693473918 0.0773940536168933 1.03629631203524e-06 74683.3243716701
"Diazinon" "BMIle30" 22.342634307977 0.290476042821991 3.81646816417507e-06 76111.2186258149
"Disulfoton" "BMIle30" 22.835282053154 0.405688004134832 3.60539277476452e-06 112522.554262158
"Atrazine" "BMIle30" 30.8676553798017 0.058021899556775 4.63206669945274e-07 125261.364573248
"Dimethyl phthalate" "BMIle30" 6.95316378354544 2.9109051116986 1.67129903325429e-05 174170.2145325
"Acephate" "BMIle30" 6.75824844355054 0.331890728601508 1.41690844177962e-06 234235.832616437
"Carbaryl" "BMIle30" 0.314089440407266 22.3821596513544 6.67440769660246e-05 335343.009728756
"Ethylparaben" "BMIle30" 1.39500194883413 10.0358282737171 2.62170999687033e-05 382797.040317099
"Pyrene" "BMIle30" 7.94252495949484 1.07371396923409 2.02719479901116e-06 529655.053257748
"Butylparaben" "BMIle30" 3.22796688036419 1.1084376428287 1.97632399118515e-06 560858.26401571
"Carbosulfan" "BMIle30" 3.98483394040079 1.65075887687766 1.53281927300525e-06 1076942.92859535
"Diethyltoluamide" "BMIle30" 2.81355358471167 1.32235334710402 6.91248680000055e-07 1912992.22025845
"p-tert-Octylphenol" "BMIle30" 1.6328339017814 2.86312036692749 1.3523815272394e-06 2117095.14605094
"Nitrobenzene" "BMIle30" 2.84949328587942 6.18355554207318 1.83815049931108e-06 3364009.39117374
"Metolachlor" "BMIle30" 0.613318657492919 8.60890164597831 5.58733501436276e-07 15407885.1972333
"Alachlor" "BMIle30" 0.38959755983863 7.03289825823062 3.21673855081433e-07 21863443.817808
"Acetochlor" "BMIle30" 0.153762055083286 12.9030533503559 2.56523093809736e-07 50299772.8536914
"2,4-d" "Females" 129.451006937228 1.65815627918666e-06 1.63485729169415e-05 0.101425138916459
"Naphthalene" "Females" 99.3591774636188 4.02579822227759e-05 9.36856270386573e-05 0.429713537661058
"Triclosan" "Females" 3398.03071518692 0.00178515160939807 0.000224173255789455 7.9632675321212
"Methylparaben" "Females" 1.51437878330962 0.126969554855872 0.00188676704066345 67.2947704297535
"Fenitrothion" "Females" 269.553999281883 0.0074641815938927 6.21079378180602e-05 120.180799043085
"Malathion" "Females" 36.4434016144512 0.0108250048712128 7.4833987637128e-05 144.653588737027
"Permethrin" "Females" 2707.27157823205 0.00169469514506415 8.5280243537536e-06 198.7207206225
"Dimethoate" "Females" 1.85173193018633 0.00891057702846851 3.208391523205e-05 277.727233849794
"Di-n-octyl phthalate" "Females" 124.499376878105 0.0395584309214815 8.20350999083423e-05 482.213478933774
"Chlorethoxyfos" "Females" 2518.42779822315 0.00448692633077375 4.91962332604998e-06 912.046722564094
"Pirimiphos-methyl" "Females" 37.9407332725386 0.0677372253598525 6.72149998051955e-05 1007.7694793747
"Diethylphthalate" "Females" 0.989780253868222 1.96962910947257 0.00144427419084128 1363.75012581598
"Chlorpyrifos-methyl" "Females" 86.2823784592138 0.113974604961181 7.15410413426713e-05 1593.13595136614
"Parathion" "Females" 267.434982391081 0.00794585652557798 4.79650679106121e-06 1656.59236434021
"Coumaphos" "Females" 52.2578193438291 0.0118259814083302 5.06935566541126e-06 2332.8371865916
